class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"525) Children's Pony Equitation 2'/2'6""",525,"Children's Pony Equitation 2'/2'6""",3,29491,10540,false,false
526) Children's Pony Equitation Flat,526,Children's Pony Equitation Flat,3,29492,10540,false,false
527) Platinum Performance USEF Talent Search 3'9',527,Platinum Performance USEF Talent Search 3'9',5,29231,0,false,false
"528) USEF Hunter Seat Medal 3'6""",528,"USEF Hunter Seat Medal 3'6""",3,29229,0,false,false
"529) WIHS Equitation Hunter Phase 3'6""",529,"WIHS Equitation Hunter Phase 3'6""",3,29240,0,true,false
"530) WIHS Equitation Jumper Phase 3'6""",530,"WIHS Equitation Jumper Phase 3'6""",4,29241,0,false,false
"531) WIHS Equitation Overall 3'6""",531,"WIHS Equitation Overall 3'6""",3,29242,0,false,false
"532) ASPCA Maclay 3'6""",532,"ASPCA Maclay 3'6""",3,29243,0,false,false
"533) NHS Medal 3'3""",533,"NHS Medal 3'3""",5,29244,0,false,false
534) Ariat Adult Medal 3',534,Ariat Adult Medal 3',5,29232,0,true,false
535) THIS Children's Medal 14/U 3',535,THIS Children's Medal 14/U 3',7,29238,0,true,false
536) THIS Children's Medal 15-17 3',536,THIS Children's Medal 15-17 3',4,29239,0,true,false
"537) USHJA Jumping Seat Medal 3'3""",537,"USHJA Jumping Seat Medal 3'3""",6,33505,0,false,false
"545) USEF Pony Medal (Open Card) 2'9""/2'6""/2'3""",545,"USEF Pony Medal (Open Card) 2'9""/2'6""/2'3""",6,29468,0,false,false
"546) WIHS Pony Equitation (Open Card) 2'9""/2'6""/2'3""",546,"WIHS Pony Equitation (Open Card) 2'9""/2'6""/2'3""",4,29469,0,false,false
547) THIS Adult Medal 3',547,THIS Adult Medal 3',3,29245,0,false,false
"548) World Equestrian Center Premier Cup 3'6""",548,"World Equestrian Center Premier Cup 3'6""",4,29246,0,false,false
"549) NCEA Medal 3'3""",549,"NCEA Medal 3'3""",4,28950,0,false,false
600) $100 .65m Jumper Open IV.1,600,$100 .65m Jumper Open IV.1,14,29140,10418,false,true
601) $100 .65m Jumper Open IV.1,601,$100 .65m Jumper Open IV.1,14,29141,10418,false,true
602) $100 .65m Jumper Open IV.1,602,$100 .65m Jumper Open IV.1,9,29142,10418,false,true
603) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,603,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,16,29143,10419,false,true
604) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,604,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,16,29144,10419,false,true
605) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,605,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,17,29145,10419,false,true
606) .75m Jumper Open IV.1,606,.75m Jumper Open IV.1,22,29391,10397,false,false
607) .75m Jumper Open IV.1,607,.75m Jumper Open IV.1,18,29392,10397,false,false
608) .75m Jumper Open IV.1,608,.75m Jumper Open IV.1,27,29393,10397,false,false
609) .75m Jumper Junior/Amateur IV.1,609,.75m Jumper Junior/Amateur IV.1,22,29397,10398,false,false
610) .75m Jumper Junior/Amateur IV.1,610,.75m Jumper Junior/Amateur IV.1,19,29398,10398,false,false
611) .75m Jumper Junior/Amateur IV.1,611,.75m Jumper Junior/Amateur IV.1,28,29399,10398,false,false
618) .85m Jumper Open II.2d,618,.85m Jumper Open II.2d,42,29152,10422,false,false
619) .85m Jumper Open II.2d,619,.85m Jumper Open II.2d,31,29153,10422,false,false
620) .85m Jumper Open II.2d,620,.85m Jumper Open II.2d,23,29154,10422,false,false
