record_id,show_no,trainer,trainer_display,tag,active
rec5Zl0N5TXr6Cc95,14907,Celso Ariani,Celso Ariani,,0
rec5aqepy6NAiz9DN,14907,Tony Doran,Tony Doran,,0
rec66J2Ps6QIW80Eq,14907,Terry L. Brown,Terry L. Brown,,0
rec6D1SUrQr1IYJyM,14907,Lindsay Haselden,Lindsay Haselden,,0
rec6UiZPMcNsltg3J,14907,Brian Murphy,Brian Murphy,,0
rec6npIsj2ldcOqWZ,14907,Katie Rudnick,Katie Rudnick,,0
rec6szCleq8yE3JIq,14907,Traci A. Weston,Traci A. Weston,,0
rec7DXITsIiRKUwVT,14907,Hanna Pieri,Hanna Pieri,,0
rec7ppaIMqZuirHoA,14907,Isaac Leffkowitz,Isaac Leffkowitz,,0
rec7yDpRrnFHdpEyR,14907,Taylor St Jacques,Taylor St Jacques,,0
rec8idqGtfg38fRMa,14907,Gabriela Tirado,Gabriela Tirado,,0
rec9BblNEY7tpcFkm,14907,Derek Petersen,Derek Petersen,,0
rec9hQVBgpLiTbKmW,14907,Angela Swanson,Angela Swanson,,0
rec9nE2B2j1bOmqTB,14907,John Michael Durr,John Michael Durr,,0
recAQw955LG6uVCeK,14907,Kirk Webby,Kirk Webby,,0
recARZMqQrFq9nlEp,14907,Christine Davis,Christine Davis,,0
recAxFIoUH9sfVhnS,14907,Scott Keach,Scott Keach,,0
recBAzsT29cV74CnZ,14907,Gianni Gabrielli,Gianni Gabrielli,,0
recBIuBmnjIBnlRT9,14907,Wilton J. Porter,Wilton J. Porter,,0
recBVRfeR9i4COiwE,14907,Stephanie Free,Stephanie Free,,0
recBZQ9mU0STvFbPL,14907,Juliann W. Cunningham,Juliann W. Cunningham,,0
recBrA49Tjkqwn7cF,14907,Caitlin Maloney,Caitlin Maloney,,0
recBrEtNpXmVIRzK3,14907,Casey M. Millis,Casey M. Millis,,0
recC9TviwdEjxgABW,14907,Dana G. Waters,Dana G. Waters,,0
recCFl6Vtsl54ifqL,14907,River A. Wylde,River A. Wylde,,0
recCKrp47ssN1kRIV,14907,Kathleen A. Rice,Kathleen A. Rice,,0
recCbBJMoJvofncZW,14907,Vicente Guillen,Vicente Guillen,,0
recCsEeP9dMvgyAPE,14907,Jacqueline Green,Jacqueline Green,,0
recD8d72oDpyNe2Hi,14907,Pamela Gomez,Pamela Gomez,,0
recDlEaFgkwZNWGL7,14907,Tammy Blanchette,Tammy Blanchette,,0
recDrdlgXZrGchjA6,14907,Helen Goddard,Helen Goddard,,0
recEz6cLDl78OaJal,14907,Casey Johns,Casey Johns,,0
recF0DNzs4KcSZXwY,14907,Joanne Clemente,Joanne Clemente,,0
recFIHTcArQhILyAc,14907,Alan Korotkin,CWF,Alan Korotkin,1
recFYFjihQUcBvh6P,14907,Ivy Nyberg,Ivy Nyberg,,0
recFsMRQIqS8lWRWR,14907,Sydney Rowland,Sydney Rowland,,0
recGAk78qKHuklkI5,14907,Savannah Groselle,Savannah Groselle,,0
recGOZOt71dcEAmvp,14907,Declan Egan,Declan Egan,,0
recGQXJ8M2eFcl9W7,14907,Stephanie Frey,Stephanie Frey,,0
recGc5Brn264xxwLl,14907,Angela Gais,Angela Gais,,0
recHNjiHOpvxP5N0r,14907,Rob Billings,Rob Billings,,0
recHOKa6KSlvHuryw,14907,Lauren E. Hough,Lauren E. Hough,,0
recHOVfz50z5VV3gG,14907,Lindsay Barrack,Lindsay Barrack,,0
recHqozruF4gofU4W,14907,Grant Seger,Grant Seger,,0
recHr7nRG7cRW4hq4,14907,Abby Strohmeyer,Abby Strohmeyer,,0
recHszNt2lKTJ3vFH,14907,Linda J. Grover,Linda J. Grover,,0
recI1AZhpQDfY3cRY,14907,Jasmine Walsh,Jasmine Walsh,,0
recI1g5Ddvuo2Aqkw,14907,Maya Abdallah,Maya Abdallah,,0
recIKamH37qEBTrF7,14907,Anthony Sauriol,Anthony Sauriol,,0
recIKurBKhyE9TxmA,14907,Andras Szieberth,Andras Szieberth,,0
recIkAyumy88qaBpt,14907,Lukene Arenas,Lukene Arenas,,0
recIorvNwvWPlOR66,14907,Manuel G. Torres,Manuel G. Torres,,0
recJZPYAhA0EEsHd8,14907,Robin Swinderman Mitchell,Robin Swinderman Mitchell,,0
recJe0LFDSWmZkYs4,14907,Kelsey Duffy,Kelsey Duffy,,0
recJw4KTGszq5ixgY,14907,Alexandra Goetze Bell,Alexandra Goetze Bell,,0
recJyvaqZ3spBq50v,14907,Ashley Romano,Ashley Romano,,0
recKF0YhvyIihzny3,14907,Bliss Heers,Bliss Heers,,0
recKPpIDSj1ofUcQV,14907,Michael K. Kennedy,Michael K. Kennedy,,0
recKZfdrFY1v1ROxJ,14907,Lucia Rivas,Lucia Rivas,,0
recLhHBuV9elf7nB3,14907,Ariane Harris,Ariane Harris,,0
recMFDhEMIxKX7fmX,14907,Terrie E. Shibley,Terrie E. Shibley,,0
recMir2WcmMLTzpZq,14907,Erica Robson,Erica Robson,,0
recMsKXGUQA6BQOth,14907,Kim Taylor,Kim Taylor,,0
recN9E8BVaEfvKU1x,14907,Matthew Le Master,Matthew Le Master,,0
